scenario,model_name,run_id,mlflow_model_uri,cv_best_score,best_params,test_accuracy_default_predict,test_precision_churned_default_predict,test_recall_churned_default_predict,test_f1_churned_default_predict,test_accuracy_threshold_0_5,test_precision_churned_threshold_0_5,test_recall_churned_threshold_0_5,test_f1_churned_threshold_0_5,test_accuracy_threshold_0_35,test_precision_churned_threshold_0_35,test_recall_churned_threshold_0_35,test_f1_churned_threshold_0_35
before_preprocessing,Logistic_Regression,0f94edea35a3445baa91c8dba3e692d9,runs:/0f94edea35a3445baa91c8dba3e692d9/model_file,0.5955518568110556,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.7154,0.5052505966587112,0.7325259515570934,0.5980225988700565,0.7154,0.5052505966587112,0.7325259515570934,0.5980225988700565,0.5949,0.4069860599262939,0.8788927335640139,0.5563465118825978
before_preprocessing,Random_Forest,acbb378d103f4b25abc1dcf7e334c5ad,runs:/acbb378d103f4b25abc1dcf7e334c5ad/model_file,0.83302046428654,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.9122,0.9191666666666667,0.7633217993079585,0.8340264650283554,0.9122,0.9191666666666667,0.7633217993079585,0.8340264650283554,0.8974,0.8061760840998686,0.8491349480968858,0.8270980788675429
before_preprocessing,Naive_Bayes,a42b3d8480d6473b862c4f7abf5a0c89,runs:/a42b3d8480d6473b862c4f7abf5a0c89/model_file,0.5210845782794401,"{""model__var_smoothing"": ""1e-07"", ""sampler"": ""passthrough""}",0.6709,0.4504816003951593,0.6311418685121107,0.5257241677475141,0.6709,0.4504816003951593,0.6311418685121107,0.5257241677475141,0.638,0.420409943305713,0.6671280276816609,0.5157838416265382
before_preprocessing,KNN,52cbd0a6acf3416c86c5bd7cdc64195e,runs:/52cbd0a6acf3416c86c5bd7cdc64195e/model_file,0.4535616501005174,"{""model__n_neighbors"": ""3"", ""model__weights"": ""distance"", ""sampler"": ""passthrough""}",0.7358,0.5606653620352251,0.3965397923875433,0.46453182002432103,0.7358,0.5606653620352251,0.3965397923875433,0.46453182002432103,0.7088,0.4961484593837535,0.4903114186851211,0.49321266968325794
before_preprocessing,Decision_Tree,5bde84499aae424fbecb55240471b1df,runs:/5bde84499aae424fbecb55240471b1df/model_file,0.7890671977305267,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.8897,0.8681499793984343,0.7290657439446366,0.7925521910851984,0.8892,0.8572574178027266,0.7397923875432526,0.7942050520059435,0.8845,0.8181151448478181,0.7719723183391003,0.7943742211144739
after_preprocessing,Logistic_Regression,74d18c2004404c7093b55e636140645f,runs:/74d18c2004404c7093b55e636140645f/model_file,0.5983824570271213,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.7162,0.5061845861084682,0.7363321799307958,0.5999436143219622,0.7162,0.5061845861084682,0.7363321799307958,0.5999436143219622,0.604,0.41323386312033733,0.8816608996539792,0.5627208480565371
after_preprocessing,Random_Forest,c115dccb8aad4f80adc730f8171c514b,runs:/c115dccb8aad4f80adc730f8171c514b/model_file,0.8351820638361428,"{""model__class_weight"": ""None"", ""model__max_depth"": ""None"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.9133,0.9219858156028369,0.7647058823529411,0.8360128617363344,0.9125,0.917184265010352,0.7664359861591695,0.8350612629594723,0.895,0.7956298200514139,0.8567474048442907,0.8250583138953682
after_preprocessing,Naive_Bayes,adc4a2fb5bcf4c38957791b7145240f0,runs:/adc4a2fb5bcf4c38957791b7145240f0/model_file,0.5079196624000094,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.6549,0.4320658755146525,0.6173010380622838,0.5083345205869783,0.6549,0.4320658755146525,0.6173010380622838,0.5083345205869783,0.6252,0.40730337078651685,0.6522491349480969,0.5014631550944401
after_preprocessing,KNN,75d7f4d426da4d54bbbb02d253f05199,runs:/75d7f4d426da4d54bbbb02d253f05199/model_file,0.6237856822386308,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.7023,0.49111701041453953,0.8321799307958477,0.6176961602671118,0.7023,0.49111701041453953,0.8321799307958477,0.6176961602671118,0.5705,0.3957869752262276,0.9231833910034603,0.5540442321669609
after_preprocessing,Decision_Tree,6f43a0c746974c2c9fa6e4ba33ba29ac,runs:/6f43a0c746974c2c9fa6e4ba33ba29ac/model_file,0.7881199907050436,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.8876,0.8609975470155355,0.728719723183391,0.7893553223388305,0.8866,0.8486894360603654,0.7394463667820069,0.790310650887574,0.8825,0.8135283363802559,0.7698961937716263,0.7911111111111111
after_preprocessing_feature_selection,Logistic_Regression,fc12e90c44c746b196f33c077b5f6fb3,runs:/fc12e90c44c746b196f33c077b5f6fb3/model_file,0.598623875867843,"{""model__C"": ""1.0"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.7175,0.5077362532730302,0.7380622837370242,0.6016076716965167,0.7175,0.5077362532730302,0.7380622837370242,0.6016076716965167,0.6015,0.41122101508026593,0.8775086505190312,0.5600088329468919
after_preprocessing_feature_selection,Random_Forest,39c2bd44267b4b479e84297619cc7f76,runs:/39c2bd44267b4b479e84297619cc7f76/model_file,0.8423081605885707,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.9166,0.9161943319838056,0.7830449826989619,0.8444029850746269,0.9164,0.915453074433657,0.7830449826989619,0.8440880268556509,0.9022,0.814266929651545,0.8570934256055364,0.8351314902225219
after_preprocessing_feature_selection,Naive_Bayes,1dae1fe0af0548caa9bcae1dd19dca7e,runs:/1dae1fe0af0548caa9bcae1dd19dca7e/model_file,0.5326079744249663,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.6803,0.4621454993834772,0.6484429065743945,0.5396688264938805,0.6803,0.4621454993834772,0.6484429065743945,0.5396688264938805,0.649,0.43174812857771905,0.6785467128027681,0.5277179763186222
after_preprocessing_feature_selection,KNN,809ba6dd2b9e4bc08a4f4c710b607545,runs:/809ba6dd2b9e4bc08a4f4c710b607545/model_file,0.6624373088323544,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.7553,0.5529271206690561,0.8006920415224914,0.6541342756183746,0.7553,0.5529271206690561,0.8006920415224914,0.6541342756183746,0.64,0.43981010512037977,0.8975778546712803,0.5903504779244424
after_preprocessing_feature_selection,Decision_Tree,fa20e846e2ee4434a014d6b2fc600185,runs:/fa20e846e2ee4434a014d6b2fc600185/model_file,0.7892778950228586,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""SMOTE(random_state=42)""}",0.8838,0.8134978229317852,0.7757785467128028,0.7941905773999292,0.8834,0.8118668596237337,0.7764705882352941,0.7937743190661478,0.8755,0.7760993622020812,0.8,0.7878684614073947
