scenario,model_name,run_id,mlflow_model_uri,cv_best_score,best_params,threshold,test_accuracy_threshold,test_precision_churned_threshold,test_recall_churned_threshold,test_f1_churned_threshold
before_preprocessing,Logistic_Regression,5dc75474c62f4e40b5bf6e42eee313e9,runs:/5dc75474c62f4e40b5bf6e42eee313e9/model_file,0.5955518568110556,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.5,0.7154,0.5052505966587112,0.7325259515570934,0.5980225988700565
before_preprocessing,Logistic_Regression,5dc75474c62f4e40b5bf6e42eee313e9,runs:/5dc75474c62f4e40b5bf6e42eee313e9/model_file,0.5955518568110556,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.35,0.5949,0.4069860599262939,0.8788927335640139,0.5563465118825978
before_preprocessing,Random_Forest,0b8bc9d992094416a9e7f90fee2fe06c,runs:/0b8bc9d992094416a9e7f90fee2fe06c/model_file,0.83302046428654,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.5,0.9122,0.9191666666666667,0.7633217993079585,0.8340264650283554
before_preprocessing,Random_Forest,0b8bc9d992094416a9e7f90fee2fe06c,runs:/0b8bc9d992094416a9e7f90fee2fe06c/model_file,0.83302046428654,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.35,0.8974,0.8061760840998686,0.8491349480968858,0.8270980788675429
before_preprocessing,Naive_Bayes,1881af47aa4d4df5842961fc5ded7b2d,runs:/1881af47aa4d4df5842961fc5ded7b2d/model_file,0.5210845782794401,"{""model__var_smoothing"": ""1e-07"", ""sampler"": ""passthrough""}",0.5,0.6709,0.4504816003951593,0.6311418685121107,0.5257241677475141
before_preprocessing,Naive_Bayes,1881af47aa4d4df5842961fc5ded7b2d,runs:/1881af47aa4d4df5842961fc5ded7b2d/model_file,0.5210845782794401,"{""model__var_smoothing"": ""1e-07"", ""sampler"": ""passthrough""}",0.35,0.638,0.420409943305713,0.6671280276816609,0.5157838416265382
before_preprocessing,KNN,b0bf94af2a6b45c280a1c57eef2a339a,runs:/b0bf94af2a6b45c280a1c57eef2a339a/model_file,0.4535616501005174,"{""model__n_neighbors"": ""3"", ""model__weights"": ""distance"", ""sampler"": ""passthrough""}",0.5,0.7358,0.5606653620352251,0.3965397923875433,0.46453182002432103
before_preprocessing,KNN,b0bf94af2a6b45c280a1c57eef2a339a,runs:/b0bf94af2a6b45c280a1c57eef2a339a/model_file,0.4535616501005174,"{""model__n_neighbors"": ""3"", ""model__weights"": ""distance"", ""sampler"": ""passthrough""}",0.35,0.7088,0.4961484593837535,0.4903114186851211,0.49321266968325794
before_preprocessing,Decision_Tree,2f367460f9a9435b82ecf3af238f559e,runs:/2f367460f9a9435b82ecf3af238f559e/model_file,0.7890671977305267,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.5,0.8892,0.8572574178027266,0.7397923875432526,0.7942050520059435
before_preprocessing,Decision_Tree,2f367460f9a9435b82ecf3af238f559e,runs:/2f367460f9a9435b82ecf3af238f559e/model_file,0.7890671977305267,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.35,0.8845,0.8181151448478181,0.7719723183391003,0.7943742211144739
